bullet_rating,bullet_wins,bullet_losses,bullet_draws,blitz_rating,blitz_wins,blitz_losses,blitz_draws,rapid_rating,rapid_wins,rapid_losses,rapid_draws,daily_rating,daily_wins,daily_losses,daily_draws
,,,,1133,67,52,3,,,,,,,,
1121,1702,1819,43,1205,3832,3587,309,1278,86,101,8,1151,3,4,0
1250,228,197,14,1522,174,139,28,,,,,985,2,1,0
2080,4038,2997,238,2213,7346,6330,830,1774,67,38,5,1960,101,47,16
1458,44,40,3,1850,711,558,53,1200,32,30,2,1144,1,5,1
,,,,,,,,,,,,,,,
556,3,16,0,1030,160,150,13,,,,,622,0,7,0
492,143,160,4,1024,931,863,20,922,25,21,4,,,,
1329,124,132,6,1564,481,473,41,1500,2,1,1,,,,
886,445,414,14,1139,2807,2708,210,1281,36,29,3,1311,95,42,8
1310,41,38,1,1500,516,446,44,1397,48,42,8,1536,12,3,0
1075,157,164,12,1476,1348,1362,162,1495,9,9,1,1353,352,424,60
1243,120,64,3,1609,878,777,48,1584,483,355,50,1218,105,83,8
1044,5,7,0,1307,1041,1019,53,1343,97,85,5,1265,969,1044,88
,,,,,,,,,,,,,,,
981,0,2,0,1273,35,48,4,1519,20,9,2,1516,38,36,0
1357,157,118,4,1565,438,383,29,1138,6,5,0,1266,272,472,12
,,,,1591,1525,1438,116,,,,,1000,0,1,0
,,,,793,22,29,2,1148,359,329,17,1000,0,0,1
1013,4,39,2,1163,49,122,8,1474,265,900,55,1239,9,32,0
910,28,31,1,1242,1336,1349,132,1000,1,0,1,,,,
,,,,,,,,1239,0,1,0,1054,0,1,0
670,20,17,0,702,28,12,2,868,28,10,4,Unrated,0,1,0
926,399,534,22,1102,762,853,43,1095,8,10,0,1256,208,159,7
1217,2116,2060,110,1379,3405,3273,224,1498,5,3,0,1899,28,6,7
777,1,2,0,1276,419,380,40,1429,18,6,0,1222,7,2,0
1259,17,17,0,1359,91,94,5,1397,128,121,7,1342,2,2,0
,,,,,,,,1000,1,0,0,1227,19,7,0
1375,837,736,53,1440,2936,2901,218,1520,38,27,5,1101,20,37,0
,,,,786,1,3,0,1184,0,1,0,1142,56,93,0
1720,523,455,35,861,213,150,12,1237,0,1,0,,,,
638,0,1,0,947,521,487,113,1033,2,1,1,,,,
1411,315,280,10,1421,2322,2183,119,1424,2,0,0,,,,
1402,55,41,1,1444,3117,3082,160,1479,16,5,1,,,,
1211,59,32,0,1433,1925,2056,146,1173,11,1,2,1352,4,1,1
1527,627,633,19,1605,667,694,51,,,,,1598,212,129,18
483,0,3,0,572,257,280,52,849,0,1,0,Unrated,1,1,0
1590,309,298,16,1955,1473,1436,149,1861,1115,1299,150,1454,28,37,4
1226,1,1,0,1013,20,20,2,,,,,,,,
573,0,2,0,970,4,1,0,755,6,9,0,Unrated,1,7,0
995,2,1,0,619,22,22,1,1098,15,5,2,1145,2,0,0
800,0,1,0,937,234,220,40,834,8,8,2,Unrated,3,3,0
707,3,6,0,1413,41,37,0,1280,1,2,0,1762,194,183,21
984,3656,3305,172,1346,6949,6677,423,1263,114,115,9,1327,408,400,48
765,21,22,1,1214,398,362,24,1187,17,1,6,867,0,1,0
1036,22,35,2,1378,452,422,25,1374,14,13,1,1080,0,1,0
,,,,1162,1,0,0,,,,,,,,
,,,,882,0,0,1,967,5,1,1,,,,
1089,355,445,21,1068,207,290,25,1020,89,96,13,1123,6,25,4
